tickersSelection1,tickersSelection2,tickersSelection3,tickersSelection4
1,AC.MX,Fecha Descarga Inicial       (ddmmaaaa),1012010
1,ALFAA.MX,11012000,NaN
1,ALPEKA.MX,Fecha Descarga Final         (ddmmaaaa),NaN
1,AMXL.MX,Frecuencia Diaria                   (1 / 0),1
1,ASURB.MX,Frecuencia Semanal              (1 / 0),1
1,BACHOCOB.MX,Frecuencia Mensual              (1 / 0),1
1,BBAJIOO.MX,,NaN
1,BIMBOA.MX,,NaN
1,BOLSAA.MX,,NaN
1,CEMEXCPO.MX,,NaN
1,CREAL.MX,,NaN
1,CUERVO.MX,,NaN
1,ELEKTRA.MX,,NaN
1,FEMSAUBD.MX,,NaN
1,FIBRAMQ12.MX,,NaN
1,FIBRAPL14.MX,,NaN
1,FUNO11.MX,,NaN
1,GAPB.MX,,NaN
1,GCARSOA1.MX,,NaN
1,GENTERA.MX,,NaN
1,GFINBURO.MX,,NaN
1,GFINTERO.MX,,NaN
1,GFNORTEO.MX,,NaN
1,GFREGIOO.MX,,NaN
1,GMEXICOB.MX,,NaN
1,GRUMAB.MX,,NaN
1,IENOVA.MX,,NaN
1,KIMBERA.MX,,NaN
1,KOFL.MX,,NaN
1,LABB.MX,,NaN
1,LALAB.MX,,NaN
1,LIVEPOLC-1.MX,,NaN
1,MEGACPO.MX,,NaN
1,MEXCHEM.MX,,NaN
1,NAFTRACISHRS.MX,,NaN
1,NEMAKA.MX,,NaN
1,OHLMEX.MX,,NaN
1,OMAB.MX,,NaN
1,PINFRA.MX,,NaN
1,SANMEXB.MX,,NaN
1,SITESB-1.MX,,NaN
1,TERRA13.MX,,NaN
1,TLEVISACPO.MX,,NaN
1,TRAXIONA.MX,,NaN
1,UNIFINA.MX,,NaN
1,VESTA.MX,,NaN
1,VOLARA.MX,,NaN
1,WALMEX.MX,,NaN
1,Q.MX,,NaN
1,FSHOP.MX,,NaN
1,PINFRA.MX,,NaN
1,PINFRAL.MX,,NaN
1,PSOTRAC15.MX,,NaN
1,DLRTRAC15.MX,,NaN
1,NAFTRACISHRS.MX,,NaN
1,IMCTRACISHRS.MX,,NaN
1,ILCTRACISHRS.MX,,NaN
1,SORIANA.MX,,NaN
1,,,NaN
1,,,NaN
1,MELI,,NaN
1,GE,,NaN
1,FB,,NaN
1,AMD,,NaN
1,F,,NaN
1,TWTR,,NaN
1,MSFT,,NaN
1,CSCO,,NaN
1,INTC,,NaN
1,AAPL,,NaN
1,T,,NaN
1,C,,NaN
1,NVDA,,NaN
1,PFE,,NaN
1,NFLX,,NaN
1,EBAY,,NaN
1,BABA,,NaN
1,XOM,,NaN
1,TSLA,,NaN
1,AMZN,,NaN
1,MXN=X,,NaN
1,EURMXN=X,,NaN
1,EURUSD=X,,NaN
1,JPY=X,,NaN
1,USDCAD=X,,NaN
1,USDCNY=X,,NaN
1,USDHKD=X,,NaN
1,USDSGD=X,,NaN
1,USDINR=X,,NaN
1,USDRUB=X,,NaN
1,,,NaN
1,BZ=F,,NaN
1,CL=F,,NaN
1,SI=F,,NaN
1,GC=F,,NaN
1,BTC-USD,,NaN
1,ETH-USD,,NaN
1,XRP-USD,,NaN
1,BCH-USD,,NaN
1,LTC-USD,,NaN
1,^MXX,,NaN
1,^MERV,,NaN
1,^IPSA,,NaN
1,^BVSP,,NaN
1,^GSPC,,NaN
1,^DJI,,NaN
1,^IXIC,,NaN
1,^NYA,,NaN
1,^XAX,,NaN
1,,,NaN
1,^RUT,,NaN
1,^VIX,,NaN
1,^FTSE,,NaN
1,^GDAXI,,NaN
1,^FCHI,,NaN
1,^STOXX50E,,NaN
1,^N100,,NaN
1,^BFX,,NaN
1,MICEXINDEXCF.ME,,NaN
1,^N225,,NaN
1,^HSI,,NaN
1,000001.SS,,NaN
1,^STI,,NaN
1,^AXJO,,NaN
1,^AORD,,NaN
1,^BSESN,,NaN
1,^JKSE,,NaN
1,^KLSE,,NaN
1,^NZ50,,NaN
1,^KS11,,NaN
1,^TWII,,NaN
1,^GSPTSE,,NaN
1,^TA100,,NaN
1,JN0U.FGI,,NaN
1,^NSEI,,NaN
1,,,NaN
1,,,NaN
1,,,NaN
1,,,NaN
1,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
0,,,NaN
